"Type","O_name","N_name","F"
"KEYWORD","208 Jumbo King Indian Ads.json 1200","""Jumbo King"", Indian Ads",""
"KEYWORD","209 Fassos Food Company Indian Ads.json 1200","""Fassos Food Company"", Indian Ads",""
"KEYWORD","210 Kaati Zone Indian Ads.json 1110","""Kaati Zone"", Indian Ads",""
"KEYWORD","211 Nirula's Restaurant Indian Ads.json 1110","""Nirula's Restaurant"", Indian Ads",""
"KEYWORD","212 Sagar Ratna Indian Ads.json 1110","""Sagar Ratna"", Indian Ads",""
"KEYWORD","213 Shiv Sagar Indian Ads.json 1110","""Shiv Sagar"", Indian Ads",""
"KEYWORD","214 Bikanervala Indian Ads.json 1200","""Bikanervala"", Indian Ads",""
"KEYWORD","215 Radisson Hotel Indian Ads.json 1010","""Radisson Hotel"", Indian Ads",""
"KEYWORD","216 Haldiram Indian Ads.json 1100","""Haldiram"", Indian Ads",""
"KEYWORD","217 Wow! Momo Indian Ads.json 1010","""Wow! Momo"", Indian Ads",""
"KEYWORD","218 Karims Restaurant Indian Ads.json 1010","""Karims Restaurant"", Indian Ads",""
"KEYWORD","219 Indian Restaurants Ads.json 1010","",""
"KEYWORD","220 Saravana Bhavan Indian Ads.json 1010","""Saravana Bhavan"", Indian Ads",""
"KEYWORD","221 MTR Foods Indian Ads.json 1010","""MTR Foods"", Indian Ads",""
"KEYWORD","222 Paradise Restaurant Indian Ads.json 1010","""Paradise Restaurant"", Indian Ads",""
"KEYWORD","223 Ratna Cafe Indian Ads.json 1010","""Ratna Cafe"", Indian Ads",""
"KEYWORD","224 Barbeque Nation Indian Ads.json 1100","""Barbeque Nation"", Indian Ads",""
"","","",""
"","","",""
"SUBHEAD","Chocolate","",""
"","","",""
"KEYWORD","225 Hershey Indian Ads.json 1010","""Hershey"" chocolate, Indian Ads",""
"KEYWORD","226 Dairy Milk Indian Ads.json 1010","""Dairy Milk"" chocolate, Indian Ads",""
"KEYWORD","227 Kacha Mango Bite Indian Ads.json 1010","""Kacha Mango Bite"" chocolate, Indian Ads",""
"KEYWORD","228 Snickers Indian Ads.json 1010","""Snickers"" chocolate, Indian Ads",""
"KEYWORD","229 Barone Indian Ads.json 1010","""Barone"" chocolate, Indian Ads",""
"KEYWORD","230 Just jelly Indian Ads.json 1010","""Just jelly"" chocolate, Indian Ads",""
"KEYWORD","231 Kit Kat Indian Ads.json 1010","""Kit Kat"" chocolate, Indian Ads",""
"KEYWORD","232 Perk Indian Ads.json 1010","""Perk"" chocolate, Indian Ads",""
"KEYWORD","233 Cadbury Gems Indian Ads.json 1010","""Cadbury Gems"" chocolate, Indian Ads",""
"KEYWORD","234 Twix Indian Ads.json 1010","""Twix"" chocolate, Indian Ads",""
"KEYWORD","235 Kisses Indian Ads.json 1010","""Kisses"" chocolate, Indian Ads",""
"KEYWORD","236 M&M's Indian Ads.json 1010","""M&M's"" chocolate, Indian Ads",""
"KEYWORD","237 Eclairs Indian Ads.json 1010","""Eclairs"" chocolate, Indian Ads",""
"KEYWORD","238 Toffichoo Indian Ads.json 1010","""Toffichoo"" chocolate, Indian Ads",""
"KEYWORD","239 Munch Indian Ads.json 1010","""Munch"" chocolate, Indian Ads",""
"KEYWORD","240 Indian Chocolate Ads.json 1010","",""
"KEYWORD","241 Melody Indian Ads.json 1010","""Melody"" chocolate, Indian Ads",""
"KEYWORD","242 Raffaello Indian Ads.json 1010","""Raffaello"" chocolate, Indian Ads",""
"KEYWORD","243 5 Star Indian Ads.json 1010","""Star"" chocolate, Indian Ads",""
"KEYWORD","244 Mars Indian Ads.json 1010","""Mars"" chocolate, Indian Ads",""
"KEYWORD","245 Alpenlibe Indian Ads.json 1010","""Alpenlibe"" chocolate, Indian Ads",""
"KEYWORD","246 Kopiko Indian Ads.json 1010","""Kopiko"" chocolate, Indian Ads",""
"KEYWORD","247 kismi Indian Ads.json 1010","""kismi"" chocolate, Indian Ads",""
"KEYWORD","248 Ferrero Rocher Indian Ads.json 1010","""Ferrero Rocher"" chocolate, Indian Ads",""
"KEYWORD","249 Cadbury Silk Indian Ads.json 1010","""Cadbury Silk"" chocolate, Indian Ads",""
"KEYWORD","250 Milky Bar Indian Ads.json 1010","""Milky Bar"" chocolate, Indian Ads",""
"KEYWORD","251 ChocOn  Indian Ads.json 1010","""ChocOn"" chocolate, Indian Ads",""
"","","",""
"","","",""
"SUBHEAD","Nuts","",""
"","","",""
"KEYWORD","252 Happilo Indian Ads.json 1010","""Happilo"", Indian Ads",""
"KEYWORD","253 Indian Nuts Ads.json 1010","",""
"KEYWORD","254 Nutty Grities Indian Ads.json 1010","""Nutty Gritties"", Indian Ads",""
"KEYWORD","255 Tulsi Dry Fruits Indian Ads.json 1010","""Tulsi Dry Fruits"", Indian Ads",""
"KEYWORD","256 Vedaka Indian Ads.json 1010","""Vedaka"" dry fruits, Indian Ads",""
"KEYWORD","257 Nutraj Indian Ads.json 1010","""Nutraj"" dry fruits, Indian Ads",""
"KEYWORD","258 Rostaa Indian Ads.json 1010","""Rostaa"" dry fruits, Indian Ads",""
"","","",""
"","","",""
"HEAD","Electronics","",""
"","","",""
"","","",""
"SUBHEAD","Service Providers","",""
"","","",""
"KEYWORD","259 Reliance Indian Ads.json 1010","""Reliance"", Indian Ads",""
"KEYWORD","260 Idea Indian Ads.json 1010","""Idea"", Indian Ads",""
"KEYWORD","261 Vodafone Indian Ads.json 1010","""Vodafone"", Indian Ads",""
"KEYWORD","262 Airtel Indian Ads.json 1010","""Airtel"", Indian Ads",""
"KEYWORD","263 BSNL Indian Ads.json 1010","""BSNL"", Indian Ads",""
"KEYWORD","264 Tata Teleservices Indian Ads.json 1010","""Tata Teleservices"", Indian Ads",""
"KEYWORD","265 Jio Indian Ads.json 1010","""Jio"", Indian Ads",""
"KEYWORD","266 Indian Service Providers Ads.json 1010","",""
"KEYWORD","267 MTNL Indian Ads.json 1010","""MTNL"", Indian Ads",""
"KEYWORD","268 Docomo Indian Ads.json 1010","""Docomo"", Indian Ads",""
"","","",""
"","","",""
"SUBHEAD","Television Brands","",""
"","","",""
"KEYWORD","269 Philips TV Indian Ads.json 1010","""Philips"" television, Indian Ads",""
"KEYWORD","270 Sansui TV Indian Ads.json 1010","""Sansui"" television, Indian Ads",""
"KEYWORD","271 MI TV Indian Ads.json 1010","""MI"" television, Indian Ads",""
"KEYWORD","272 Samsung TV Indian Ads.json 1010","""Samsung"" television, Indian Ads",""
"KEYWORD","273 Sony TV Indian Ads.json 1010","""Sony"" television, Indian Ads",""
"KEYWORD","274 Panasonic TV Indian Ads.json 1010","""Panasonic"" television, Indian Ads",""
"KEYWORD","275 Micromax TV Indian Ads.json 1010","""Micromax"" television, Indian Ads",""
"KEYWORD","276 Indian Television Brands Ads.json 1010","",""
"KEYWORD","277 LG TV Indian Ads.json 1010","""LG"" television, Indian Ads",""
"","","",""
"","","",""
"SUBHEAD","Phones","",""
"","","",""
"KEYWORD","278 Google Mobiles Indian Ads.json 1010","""Google Mobiles"", Indian Ads",""
"KEYWORD","279 Samsung Indian Ads.json 1010","""Samsung"" mobiles, Indian Ads",""
"KEYWORD","280 Gionee Indian Ads.json 1010","""Gionee"" mobiles, Indian Ads",""
"KEYWORD","281 Nokia Indian Ads.json 1010","""Nokia"" mobiles, Indian Ads",""
"KEYWORD","282 Apple Indian Ads.json 1010","""Apple"" mobiles, Indian Ads",""
"KEYWORD","283 HTC Indian Ads.json 1010","""HTC"" mobiles, Indian Ads",""
"KEYWORD","284 Xiaomi Indian Ads.json 1010","""Xiaomi"" mobiles, Indian Ads",""
"KEYWORD","285 Indian Phones Ads.json 1010","",""
"KEYWORD","286 LG Indian Ads.json 1010","""LG"" mobiles, Indian Ads",""
"KEYWORD","287 Sony Indian Ads.json 1010","""Sony"" mobiles, Indian Ads",""
"KEYWORD","288 One-Plus Indian Ads.json 1010","""One-Plus"" mobiles, Indian Ads",""
"KEYWORD","289 Motorola Indian Ads.json 1010","""Motorola"" mobiles, Indian Ads",""
"KEYWORD","290 Vivo Indian Ads.json 1010","""Vivo"" mobiles, Indian Ads",""
"KEYWORD","291 Lava Mobiles Indian Ads.json 1010","""Lava Mobiles"" mobiles, Indian Ads",""
"KEYWORD","292 Asus Indian Ads.json 1010","""Asus"" mobiles, Indian Ads",""
"KEYWORD","293 Videocon Indian Ads.json 1010","""Videocon"" mobiles, Indian Ads",""
"KEYWORD","294 Oppo Indian Ads.json 1010","""Oppo"" mobiles, Indian Ads",""
"KEYWORD","295 Micromax Indian Ads.json 1010","""Micromax"" mobiles, Indian Ads",""
"","","",""
"","","",""
"SUBHEAD","Computers","",""
"","","",""
"KEYWORD","297 MI Indian Ads.json 1010","""MI"" laptops and computers, Indian Ads",""
"KEYWORD","298 HP Indian Ads.json 1010","""HP"" laptops and computers, Indian Ads",""
"KEYWORD","299 Sony laptops Indian Ads.json 1010","""Sony"" laptops and computers, laptops Indian Ads",""
"KEYWORD","300 Intel Indian Ads.json 1010","""Intel"" laptops and computers, Indian Ads",""
"KEYWORD","301 Apple Computers Indian Ads.json 1010","""Apple"" laptops and computers, Computers Indian Ads",""
"KEYWORD","302 Dell Indian Ads.json 1010","""Dell"" laptops and computers, Indian Ads",""
"KEYWORD","303 Indian Computers Ads.json 1010","",""
"KEYWORD","304 Asus Indian Ads.json 1010","""Asus"" laptops and computers, Indian Ads",""
"KEYWORD","305 Acer Indian Ads.json 1010","""Acer"" laptops and computers, Indian Ads",""
"KEYWORD","306 MIcrosoft Indian Ads.json 1010","""MIcrosoft"" laptops and computers, Indian Ads",""
"KEYWORD","307 Lenovo Indian Ads.json 1010","""Lenovo"" laptops and computers, Indian Ads",""
"KEYWORD","308 Razer Laptops Indian Ads.json 1010","""Razer"" laptops and computers, Laptops Indian Ads",""
"KEYWORD","309 MSI Indian Ads.json 1010","""MSI"" laptops and computers, Indian Ads",""
"KEYWORD","310 Toshiba Indian Ads.json 1010","""Toshiba"" laptops and computers, Indian Ads",""
"KEYWORD","311 Dell Alienware Indian Ads.json 1010","""Dell"" laptops and computers, Alienware Indian Ads",""
"","","",""
"","","",""
"HEAD","Sports","",""
"","","",""
"","","",""
"SUBHEAD","Equipment","",""
"","","",""
"KEYWORD","312 HRX Indian Ads.json 1010","""HRX"", Indian Ads",""
"KEYWORD","313 FILA Indian Ads.json 1010","""FILA"", Indian Ads",""
"KEYWORD","314 Puma Indian Ads.json 1010","""Puma"", Indian Ads",""
"KEYWORD","315 Indian Equipment Ads.json 1010","",""
"KEYWORD","316 Nike Indian Ads.json 1010","""Nike"", Indian Ads",""
"KEYWORD","317 Reebox Indian Ads.json 1010","""Reebox"", Indian Ads",""
"KEYWORD","318 Cosco Sports Indian Ads.json 1010","""Cosco"", Sports Indian Ads",""
"KEYWORD","319 Skechers Indian Ads.json 1010","""Skechers"", Indian Ads",""
"KEYWORD","320 Perfox Indian Ads.json 1010","""Perfox"", Indian Ads",""
"KEYWORD","321 Tyka Indian Ads.json 1010","""Tyka"", Indian Ads",""
"KEYWORD","322 MRF Indian Ads.json 1010","""MRF"", Indian Ads",""
"KEYWORD","323 Adidas Indian Ads.json 1010","""Adidas"", Indian Ads",""
"KEYWORD","324 Sareen Sports Indian Ads.json 1010","""Sareen"", Sports Indian Ads",""
"KEYWORD","325 Nivia Indian Ads.json 1010","""Nivia"", Indian Ads",""
"","","",""
"","","",""
"HEAD","Travel","",""
"","","",""
"SUBHEAD","Trains","",""
"","","",""
"KEYWORD","326 Air India Indian Ads.json 1010","Indain Trains Ads",""
"KEYWORD","327 Jet Airways Indian Ads.json 1010","Indian Metro Ads",""
"","","",""
"SUBHEAD","Airlines","",""
"","","",""
"KEYWORD","326 Air India Indian Ads.json 1010","""Air India"", Indian Ads",""
"KEYWORD","327 Jet Airways Indian Ads.json 1010","""Jet Airways"", Indian Ads",""
"KEYWORD","328 Indigo Indian Ads.json 1010","""Indigo"", Indian Ads",""
"KEYWORD","329 Vistara Indian Ads.json 1010","""Vistara"", Indian Ads",""
"KEYWORD","330 SpiceJet Indian Ads.json 1010","""SpiceJet"", Indian Ads",""
"KEYWORD","331 GoAir Indian Ads.json 1010","""GoAir"", Indian Ads",""
"KEYWORD","332 Indian Airlines Ads.json 1010","",""
"","Keyword Count: 7","",""
"","","",""
"SUBHEAD","Resorts","",""
"","","",""
"KEYWORD","333 Jaisalmer Marriott Resort & Spa Indian Ads.json 1010","""Jaisalmer Marriott Resort & Spa"", Indian Ads",""
"KEYWORD","334 ITC Jotels Indian Ads.json 1010","""ITC"" hotels, Indian Ads",""
"KEYWORD","335 Indian Resorts Ads.json 1010","",""
"KEYWORD","336 The Roseate Indian Ads.json 1010","""The Roseate"", Indain Ads",""
"KEYWORD","338 The Naini Retreat Indian Ads.json 1010","""The Naini Retreat"", Indian Ads",""
"KEYWORD","339 Niraamaya Retreats Backwaters And Beyond Indian Ads.json 1010","""Niraamaya Retreats Backwaters And Beyond"", Indian Ads",""
"KEYWORD","340 Club Mahindra Indian Ads.json 1010","""Club Mahindra"", Indian Ads",""
"KEYWORD","341 Le Meridien Group of Hotels in India Indian Ads.json 1010","""Le Meridien Group of Hotels"", Indian Ads",""
"KEYWORD","342 The Oberoi Groups Indian Ads.json 1010","""The Oberoi Groups"", Indian Ads",""
"","","",""
"","","",""
"SUBHEAD","Travel Companies","",""
"","","",""
"KEYWORD","343 ClearTrip Indian Ads.json 1010","""ClearTrip"", Indian Ads",""
"KEYWORD","344 East India Travel Co Indian Ads.json 1010","""East India Travel"", Indian Ads",""
"KEYWORD","345 Yatra Indian Ads.json 1010","""Yatra"", Indian Ads",""
"KEYWORD","346 Indian Travel Companies Ads.json 1010","",""
"KEYWORD","347 Red Bus Indian Ads.json 1010","""RedBus"", Bus Ads",""
"KEYWORD","348 EaseMyTrip Indian Ads.json 1010","""EaseMyTrip"", Indian Ads",""
"KEYWORD","349 The Travel Guru Indian Ads.json 1010","""TheTravel Guru"", Travel Ads",""
"KEYWORD","350 MakeMyTrip Indian Ads.json 1010","""Make MyTrip"", Indian Ads",""
"KEYWORD","351 Goibibo Indian Ads.json 1010","""Goibibo"", Indian Ads",""
"KEYWORD","352 OYO Indian Ads.json 1010","""OYO"", Indian Ads",""
"","","",""
"","","",""
"HEAD","Cosmetics","",""
"","","",""
"","","",""
"SUBHEAD","Cosmetics","",""
"","","",""
"KEYWORD","353 Jonsons Indian Ads.json 1010","""Johnsons"", Indian Ads",""
"KEYWORD","354 Axe Indian Ads.json 1010","""Axe"", Indian Ads",""
"KEYWORD","355 Biotique Indian Ads.json 1010","""Biotique"" cosmetics, Indian Ads",""
"KEYWORD","356 Ponds Indian Ads.json 1010","""Ponds"", Indian Ads",""
"KEYWORD","357 Olay Indian Ads.json 1010","""Olay"", Indian Ads",""
"KEYWORD","358 Fair and Lovely Indian Ads.json 1010","""Fair and Lovely"", Indian Ads",""
"KEYWORD","359 Head and Shoulder Indian Ads.json 1010","""Head and Shoulder"", Indian Ads",""
"KEYWORD","360 Lotus Herbal Indian Ads.json 1010","""Lotus Herbal"", Indian Ads",""
"KEYWORD","361 Set Wet Indian Ads.json 1010","""Set Wet"", Indian Ads",""
"KEYWORD","362 Garnier Indian Ads.json 1010","""Garnier"", Indian Ads",""
"KEYWORD","364 Himalaya Herbals Indian Ads.json 1010","""Himalaya Herbals"", Indian Ads",""
"KEYWORD","365 Sunsilk Indian Ads.json 1010","""Sunsilk"", Indian Ads",""
"KEYWORD","366 Denver Indian Ads.json 1010","""Denver"", Indian Ads",""
"KEYWORD","367 Mamaearth Indian Ads.json 1010","""Mamaearth"", Indian Ads",""
"KEYWORD","368 Lakme Indian Ads.json 1010","""Lakme"", Indian Ads",""
"KEYWORD","369 Fog Indian Ads.json 1010","""Fog"" cosmetics, Indian Ads",""
"KEYWORD","370 Wild Stone Indian Ads.json 1010","""Wild Stone"", Indian Ads",""
"KEYWORD","371 Alle 18 Indian Ads.json 1010","""Alle"", Indian Ads",""
"KEYWORD","372 Indian Cosmetics Ads.json 1010","",""
"KEYWORD","373 Park Evenue Indian Ads.json 1010","""Park Evenue"", Indian Ads",""
"KEYWORD","374 Engage Indian Ads.json 1010","""Engage"", Indian Ads",""
"KEYWORD","375 Calvin Klein Indian Ads.json 1010","""Calvin Klein"", Indian Ads",""
"KEYWORD","376 Amway Indian Ads.json 1010","""Amway"", Indian Ads",""
"KEYWORD","377 Pantene Indian Ads.json 1010","""Pantene"", Indian Ads",""
"KEYWORD","378 Maybelline Indian Ads.json 1010","""Maybelline"", Indian Ads",""
"KEYWORD","379 Lux Indian Ads.json 1010","""Lux"", Indian Ads",""
"KEYWORD","380 L'Oreal Indian Ads.json 1010","""L'Oreal"", Indian Ads",""
"KEYWORD","381 Clean and clear Indian Ads.json 1010","""Clean and clear"", Indian Ads",""
"","","",""
"","","",""
"HEAD","Financial Institutions","",""
"","","",""
"","","",""
"SUBHEAD","Insurance","",""
"","","",""
"KEYWORD","382 PNB Metlife Indian Ads.json 1010","""PNB Metlife"", Indian Ads",""
"KEYWORD","383 Indian Insurance Ads.json 1010","",""
"KEYWORD","384 HDFC Life Indian Ads.json 1010","""HDFC Life"", Indian Ads",""
"KEYWORD","385 LIC Indian Ads.json 1010","""LIC"",  Indian Ads",""
"KEYWORD","386 Max Life Indian Ads.json 1010","""Max Life"", Indian Ads",""
"KEYWORD","387 Kotak Life Indian Ads.json 1010","""Kotak Life"", Indian Ads",""
"KEYWORD","388 SBI Life Indian Ads.json 1010","""SBI Life"", Indian Ads",""
"KEYWORD","389 Exide Life Indian Ads.json 1010","""Exide Life"", Indian Ads",""
"KEYWORD","390 Birla Sun Life Indian Ads.json 1010","""Birla Sun"", Life Indian Ads",""
"KEYWORD","391 ICICI Prudential Indian Ads.json 1010","""ICICI Prudential"", Indian Ads",""
"KEYWORD","392 Tata AIA Indian Ads.json 1010","""Tata AIA"", Indian Ads",""
"KEYWORD","393 Bajaj Allianz Indian Ads.json 1010","""Bajaj Allianz"", Indian Ads",""
"","","",""
"","","",""
"SUBHEAD","Banks","",""
"","","",""
"KEYWORD","394 Punjab National Bank Indian Ads.json 1010","""Punjab National Bank"", Indian Ads",""
"KEYWORD","395 Central Bank of India Indian Ads.json 1010","""Central Bank of India"", Indian Ads",""
"KEYWORD","396 Indian Banks Ads.json 1010","",""
"KEYWORD","397 State Bank Of India Indian Ads.json 1010","""State Bank Of India"", Indian Ads",""
"KEYWORD","398 Canara Bank Indian Ads.json 1010","""Canara Bank"", Indian Ads",""
"KEYWORD","399 HDFC Bank Indian Ads.json 1010","""HDFC Bank"", Indian Ads",""
"KEYWORD","400 Union Bank Of India Indian Ads.json 1010","""Union Bank Of India"", Indian Ads",""
"KEYWORD","401 Bank of Baroda Indian Ads.json 1010","""Bank of Baroda"", Indian Ads",""
"KEYWORD","402 ICICI Bank Indian Ads.json 1010","""ICICI Bank"", Indian Ads",""
"KEYWORD","403 Yes Bank Indian Ads.json 1010","""Yes Bank"", Indian Ads",""
"KEYWORD","404 Bank of India Indian Ads.json 1010","""Bank of India"", Indian Ads",""
"KEYWORD","405 Allahabad Bank Indian Ads.json 1010","""Allahabad Bank"", Indian Ads",""
"KEYWORD","406 Axis Bank Indian Ads.json 1010","""Axis Bank"", Indian Ads",""
