"Type","O_name","N_name","F"
"SUBHEAD","Alcohol","",""
"","","",""
"KEYWORD","57 McDowell’s No.1 Liquor & Alcohol Indian Ads.json 1110","""McDowell’s"" Liquor & Alcohol, Indian Ads",""
"KEYWORD","58 Kingfisher Indian Ads.json 1110","""Kingfisher""  liquor and alcohol, Indian Ads",""
"KEYWORD","59 Royal Challenge Indian Ads.json 1110","""Royal Challenge"" Liquour and Alcohol, Indian Ads",""
"KEYWORD","60 Heineken Beer Indian Ads.json 1110","""Heineken Beer"", Indian Ads",""
"KEYWORD","61 Carlsberg Indian Ads.json 1110","""Carlsberg"", Indian Ads",""
"KEYWORD","62 Imperial Blue Liquor & Alcohol Indian Ads.json 1110","""Imperial Blue"" Liquor & Alcohol, Indian Ads",""
"KEYWORD","63 Old Monk Liquor & Alcohol Rum Indian Ads.json 1110","""Old Monk"" Liquor & Alcohol, Indian Ads",""
"KEYWORD","64 Tuborg Indian Ads.json 1110","""Tuborg"", Indian Ads",""
"KEYWORD","65 Royal Stag Indian Ads.json 1110","""Royal Stag"", Indian Ads",""
"KEYWORD","66 Indian Alcohol Ads.json 1110(Redundant)","",""
"KEYWORD","67 Blenders Pride Indian Ads.json 1110","""Blenders Pride"", Indian Ads",""
"KEYWORD","68 Officers Choice Liquor & Alcohol Indian Ads.json 1110","""Officers Choice"" Liquour & Alcohol, Indian Ads",""
"","Keyword Count: 12","",""
"","","",""
"HEAD","Clothing","",""
"","","",""
"","","",""
"SUBHEAD","Brands","",""
"","","",""
"KEYWORD","69 Peter England Indian Ads.json 1110","""Peter England"" Indian Ads",""
"KEYWORD","70 Bahamas Indian Ads.json 1110","""Bahamas"" footwear,Indian Ads",""
"KEYWORD","71 Da Milano Indian Ads.json 1110","""Da Milano"", Indian Ads",""
"KEYWORD","72 Louis Philippe Indian Ads.json 1110","""Louis Philippe"", Indian Ads",""
"KEYWORD","73 Raymonds Indian Ads.json 1110","""Raymonds"" Indian Ads",""
"KEYWORD","74 Red Chief Indian Ads.json 1110","""Red Chief"", Indian Ads",""
"KEYWORD","75 Indian Brands Ads.json 1110(Redundant)","",""
"KEYWORD","76 Sketchers Indian Ads.json 1110","""Sketchers"" Indian Ads",""
"KEYWORD","77 Campus Indian Ads.json 1110","""Campus"" Indian Ads",""
"KEYWORD","78 Wood Land Indian Ads.json 1110","""Wood Land"", Indian Ads",""
"KEYWORD","79 Flying Machine Indian Ads.json 1110","""Flying Machine"", Indian Ads",""
"KEYWORD","80 Bata Indian Ads.json 1110","""Bata"" Indian Ads",""
"KEYWORD","81 Biba Indian Ads.json 1110","""Biba"" Indian Ads",""
"KEYWORD","82 Gini & Jony Indian Ads.json 1110","""Gini & Jony"", Indian Ads",""
"KEYWORD","83 Provogue Indian Ads.json 1110","""Provogue"" clothing, Indian Ads",""
"KEYWORD","84 Allen Solly Indian Ads.json 1110","""Allen Solly"", Indian Ads",""
"KEYWORD","85 Sparx Indian Ads.json 1110","""Sparx"" Indian Ads",""
"KEYWORD","86 Fab India Indian Ads.json 1110","""Fabindia"", Indian Ads",""
"KEYWORD","87 Monte Carlo Indian Ads.json 1210","""Monte Carlo"", Indian Ads",""
"","Keyword Count: 19","",""
"","","",""
"HEAD","Cars","",""
"","","",""
"SUBHEAD","Bajaj Models","",""
"KEYWORD","","Bajaj ""Pulsar"", Indian Ads ",""
"KEYWORD","","Bajaj ""Dominar"", Indian Ads",""
"KEYWORD","","Bajaj ""Avenger"", Indian Ads",""
"KEYWORD","","Bajaj ""Qute"", Indian Ads",""
"KEYWORD","","Bajaj ""Platina"", Indian Ads",""
"","","",""
"SUBHEAD","Mahindra Models","",""
"","","",""
"KEYWORD","","Mahindra ""XUV"", Indian Ads",""
"KEYWORD","","Mahindra ""Scorpio"", Indian Ads",""
"KEYWORD","","Mahindra ""Bolero"", Indian Ads",""
"KEYWORD","","Mahindra ""Thar"", Indian Ads",""
"KEYWORD","","Mahindra ""Marazzo"", Indian Ads",""
"KEYWORD","","Mahindra ""Alturas"", Indian Ads",""
"KEYWORD","","Mahindra ""KUV"", Indian Ads",""
"","","",""
"SUBHEAD","Toyota Models","",""
"","","",""
"KEYWORD","","Toyota ""Fortuner"", Indian Ads",""
"KEYWORD","","Toyota ""Innova"", Indian Ads",""
"KEYWORD","","Toyota ""Corolla"", Indian Ads",""
"KEYWORD","","Toyotal ""Land Cruiser"", Indian Ads",""
"","","",""
"SUBHEAD","Ford Models","",""
"","","",""
"KEYWORD","","Ford ""Fiesta"", Indian Ads",""
"KEYWORD","","Ford ""Figo"", Indian Ads",""
"KEYWORD","","Ford ""Aspire"", Indian Ads",""
"KEYWORD","","Ford ""Ecosport"", Indian Ads",""
"KEYWORD","","Ford ""Endeavour"", Indian Ads",""
"","","",""
"SUBHEAD","Skoda Models","",""
"","","",""
"KEYWORD","","Skoda ""Slavia"", Indian Ads",""
"KEYWORD","","Skoda ""Octavia"", Indian Ads",""
"KEYWORD","","Skoda ""Kushaq"", Indian Ads",""
"KEYWORD","","Skoda ""Kodiaq"", Indian Ads",""
"","","",""
"SUBHEAD","Hyundai Models","",""
"KEYWORD","","Hyundai ""Tucson"", Indian Ads",""
"KEYWORD","","Hyundai ""i10"", Indian Ads",""
"KEYWORD","","Hyundai ""120"", Indian Ads",""
"KEYWORD","","Hyundai ""Santro"", Indian Ads",""
"KEYWORD","","Hyundai ""Creta"", Indian Ads",""
"KEYWORD","","Hyundai ""Verna"", Indian Ads",""
"KEYWORD","","Hyundai ""Alcazar"", Indian Ads",""
"KEYWORD","","Hyundai ""Venue"" car, Indian Ads",""
"","","",""
"SUBHEAD","Renault","",""
"","","",""
"KEYWORD","","Renault ""KWID"", Indian Ads",""
"KEYWORD","","Renault ""Kiger"", Indian Ads",""
"KEYWORD","","Renault ""Triber"", Indian Ads",""
"","","",""
"","","",""
"SUBHEAD","Maruti models","",""
"","","",""
"KEYWORD","","Maruti Suzuki ""Brezza"", Indian Ads",""
"KEYWORD","","Maruti Suzuki ""Swift"", Indian Ads",""
"KEYWORD","","Maruti Suzuki ""Baleno"", Indian Ads",""
"KEYWORD","","Maruti Suzuki ""Ertiga"", Indian Ads",""
"KEYWORD","","Maruti Suzuki ""Alto"", Indian Ads",""
"KEYWORD","","Maruti Suzuki ""Wagon R"", Indian Ads",""
"KEYWORD","","Maruti Suzuki ""Dzire"", Indian Ads",""
"KEYWORD","","Maruti Suzuki ""Celerio"", Indian Ads",""
"KEYWORD","","Maruti Suzuki ""Ciaz"", Indian Ads",""
"KEYWORD","","Maruti Suzuki ""Ignis"", Indian Ads",""
"","","",""
"","","",""
"SUBHEAD","Honda","",""
"","","",""
"KEYWORD","","""Honda City"", Indian Ads",""
"KEYWORD","","Honda ""Amaze"", Indian Ads",""
"KEYWORD","","Honda ""Jazz"", Indian Ads",""
"KEYWORD","","Honda ""WR-V"", Indian Ads",""
"","","",""
"SUBHEAD","Tata","",""
"","","",""
"KEYWORD","","Tata ""Nexon"", Indian Ads",""
"KEYWORD","","Tata ""Tiago"", Indian Ads",""
"KEYWORD","","Tata ""Harrier"", Indian Ads",""
"KEYWORD","","Tata ""Altroz"", Indian Ads",""
"KEYWORD","","Tata ""Tigor"", Indian Ads",""
"KEYWORD","","Tata ""Safari"", Indian Ads",""
"KEYWORD","","Tata ""Punch"" Indian Ads",""
"","","",""
"SUBHEAD","Hero Motocorp","",""
"","","",""
"KEYWORD","","Hero ""Splendor"", Indian Ads",""
"KEYWORD","","Hero ""Glamour"", Indian Ads",""
"KEYWORD","","Hero ""Passion Pro"", Indian Ads",""
"KEYWORD","","Hero ""Maestro"", Indian Ads",""
"KEYWORD","","Hero ""Pleasure"", Indian Ads",""
"KEYWORD","","Hero ""HF Deluxe"", Indian Ads",""
"","","",""
"","","",""
"SUBHEAD","TVS","",""
"","","",""
"KEYWORD","","TVS ""Jupiter"", Indian Ads",""
"KEYWORD","","TVS ""Apache"", Indian Ads",""
"KEYWORD","","TVS ""Raider"", Indian Ads",""
"KEYWORD","","TVS ""Sport"", Indian Ads",""
"KEYWORD","","TVS Scooty,""Pep"", Indian Ads",""
"KEYWORD","","TVS Scooty,""Zest"", Indian Ads",""
"","","",""
"SUBHEAD","Companies","",""
"","","",""
"KEYWORD","88 Mahindra Indian Ads.json 1110","""Mahindra"" cars, Indian Ads",""
"KEYWORD","89 Toyota Indian Ads.json 1110","""Toyota"", Indian Ads",""
"KEYWORD","90 Ford Indian Ads.json 1110","""Ford"" cars, Indian Ads",""
"KEYWORD","91 Skoda Indian Ads.json 1110","""Skoda"" cars, Indian Ads",""
